Tarih,Sezon,Lig,Ev Sahibi,Deplasman,MS Skor,IY Skor,MS Sonucu,Toplam Gol,KG Var
2024-04-28,2023,Ekstraklasa,Stal Mielec,Legia Warszawa,1 - 3,1 - 1,2,4,Evet
2024-04-28,2023,Ekstraklasa,Lech Poznan,Cracovia Krakow,0 - 0,0 - 0,X,0,Yok
2024-04-29,2023,Ekstraklasa,Puszcza Niepołomice,Korona Kielce,1 - 1,1 - 0,X,2,Evet
2024-05-03,2023,Ekstraklasa,Cracovia Krakow,Gornik Zabrze,5 - 0,2 - 0,1,5,Yok
2024-05-03,2023,Ekstraklasa,Ruch Chorzów,Lech Poznan,2 - 1,1 - 1,1,3,Evet
2024-05-04,2023,Ekstraklasa,ŁKS Łódź,Slask Wroclaw,1 - 2,0 - 0,2,3,Evet
2024-05-04,2023,Ekstraklasa,Zaglebie Lubin,Raków Częstochowa,2 - 0,1 - 0,1,2,Yok
2024-05-04,2023,Ekstraklasa,Stal Mielec,Jagiellonia,3 - 2,1 - 1,1,5,Evet
2024-05-05,2023,Ekstraklasa,Warta Poznań,Widzew Łódź,2 - 1,2 - 1,1,3,Evet
2024-05-05,2023,Ekstraklasa,Korona Kielce,Piast Gliwice,1 - 1,0 - 1,X,2,Evet
2024-05-05,2023,Ekstraklasa,Legia Warszawa,Radomiak Radom,0 - 3,0 - 0,2,3,Yok
2024-05-06,2023,Ekstraklasa,Pogon Szczecin,Puszcza Niepołomice,1 - 0,0 - 0,1,1,Yok
2024-05-10,2023,Ekstraklasa,Piast Gliwice,ŁKS Łódź,4 - 0,0 - 0,1,4,Yok
2024-05-10,2023,Ekstraklasa,Slask Wroclaw,Cracovia Krakow,4 - 0,3 - 0,1,4,Yok
2024-05-11,2023,Ekstraklasa,Gornik Zabrze,Stal Mielec,1 - 1,0 - 0,X,2,Evet
2024-05-11,2023,Ekstraklasa,Jagiellonia,Korona Kielce,3 - 0,2 - 0,1,3,Yok
2024-05-11,2023,Ekstraklasa,Raków Częstochowa,Pogon Szczecin,2 - 1,2 - 0,1,3,Evet
2024-05-12,2023,Ekstraklasa,Puszcza Niepołomice,Warta Poznań,1 - 0,0 - 0,1,1,Yok
2024-05-12,2023,Ekstraklasa,Widzew Łódź,Zaglebie Lubin,1 - 3,0 - 2,2,4,Evet
2024-05-12,2023,Ekstraklasa,Lech Poznan,Legia Warszawa,1 - 2,0 - 2,2,3,Evet
2024-05-13,2023,Ekstraklasa,Radomiak Radom,Ruch Chorzów,0 - 2,0 - 0,2,2,Yok
2024-05-17,2023,Ekstraklasa,Stal Mielec,Pogon Szczecin,0 - 0,0 - 0,X,0,Yok
2024-05-17,2023,Ekstraklasa,Gornik Zabrze,Puszcza Niepołomice,1 - 1,1 - 0,X,2,Evet
